effect,group,term,estimate,std.error,statistic,df,p.value
ran_pars,subj_id,cor__cat.cat:exp,-0.004670154941629513,NA,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.06019499955802374,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.80504777333024,NA,NA,NA,NA
ran_pars,item_id,sd__exp,64.18896159998292,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.33876655393453253,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.60031259687713,NA,NA,NA,NA
fixed,NA,(Intercept),808.1085886804059,14.996914553938552,53.88498986067618,112.17574286043595,5.088073202846045e-82
fixed,NA,cat,17.632091052673328,23.14222585189432,0.7619012607307193,50.801201878692865,0.4496418130165968
fixed,NA,exp,-6.18857054642128,11.698480396396777,-0.5290063612302507,91.53964777858891,0.5980814818110337
fixed,NA,cat:exp,40.93158280096381,21.09583364772209,1.9402685612940245,69.62544242940135,0.056397700078580415
ran_pars,subj_id,sd__(Intercept),97.37050331244669,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,38.953086450794736,NA,NA,NA,NA
ran_pars,subj_id,sd__exp,69.66278435913944,NA,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,95.777118321431,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.4244775157274807,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.1373025321430733,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.22698251645122436,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,-0.13178123400107408,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.31552357972773515,NA,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.05769655739554938,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.39331349551041,NA,NA,NA,NA
ran_pars,item_id,sd__exp,60.083308257060224,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.2065829615832295,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.78178276384355,NA,NA,NA,NA
fixed,NA,(Intercept),822.5329648474836,14.8639169998094,55.33756444267221,124.53573016330915,1.5316177351638052e-89
fixed,NA,cat,54.454109307279566,21.649414200699614,2.515269411101195,51.807168573922795,0.015035232521414095
fixed,NA,exp,13.134801763690103,12.38685513429102,1.0603822860032093,107.16440438343757,0.2913547683463564
fixed,NA,cat:exp,50.96106848999389,19.884763397321905,2.562819957760089,63.48316297708528,0.012764889636044215
ran_pars,subj_id,sd__(Intercept),104.08487919444256,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,42.777919539456654,NA,NA,NA,NA
ran_pars,subj_id,sd__exp,83.95753522862216,NA,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,79.76327711573425,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.26631884869735506,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.4511808840446865,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.3203912089095554,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,0.2163782984354873,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.17058739830471367,NA,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.29271788472565213,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),73.65292106353472,NA,NA,NA,NA
ran_pars,item_id,sd__exp,57.67499205216478,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.06988130675409583,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.59200833771516,NA,NA,NA,NA
