effect,group,term,estimate,std.error,statistic,df,p.value,rep,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
fixed,NA,(Intercept),812.3703650360088,7.874916947305183,103.15922954768482,20.556520309878376,2.1680578237237533e-29,1,,50,10,800,50,20,20,40,0.2,200
fixed,NA,cat,44.1232040094997,17.129951376730524,2.575792717627736,22.58730957050042,0.017038034389859697,1,,50,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),11.722404119024658,NA,NA,NA,NA,1,,50,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__cat,53.09008717628577,NA,NA,NA,NA,1,,50,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.9999999636428416,NA,NA,NA,NA,1,,50,10,800,50,20,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),18.514415843187578,NA,NA,NA,NA,1,,50,10,800,50,20,20,40,0.2,200
ran_pars,Residual,sd__Observation,205.24824496115988,NA,NA,NA,NA,1,,50,10,800,50,20,20,40,0.2,200
fixed,NA,(Intercept),786.4547285859118,11.730074608999756,67.04601247655441,36.81924416281914,4.340982240735074e-40,2,,50,10,800,50,20,40,40,0.2,200
fixed,NA,cat,8.916104213806964,18.021389201967487,0.4947512155629793,19.11726182423712,0.6264136700172178,2,,50,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),55.181402575808335,NA,NA,NA,NA,2,,50,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__cat,29.992367909738174,NA,NA,NA,NA,2,,50,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.4474446295847832,NA,NA,NA,NA,2,,50,10,800,50,20,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),26.701613761646954,NA,NA,NA,NA,2,,50,10,800,50,20,40,40,0.2,200
ran_pars,Residual,sd__Observation,202.59836537895163,NA,NA,NA,NA,2,,50,10,800,50,20,40,40,0.2,200
