effect,group,term,estimate,std.error,statistic,df,p.value,rep,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
fixed,NA,(Intercept),810.058985664081,13.753842160630528,58.89692321632291,87.72792023847667,2.545820086908113e-72,1,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,-12.409609561627832,23.989686924055064,-0.5172893502492691,55.70036294769074,0.6070024379016603,1,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),73.1396908205897,NA,NA,NA,NA,1,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,57.27910345784675,NA,NA,NA,NA,1,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.10263762058030587,NA,NA,NA,NA,1,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),79.81765284339748,NA,NA,NA,NA,1,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.18558435122011,NA,NA,NA,NA,1,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),816.2091409905487,15.265583958336723,53.467272737038456,81.90667682611253,1.8297179913734693e-65,2,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,49.1006148228856,26.845950881245905,1.8289765573990677,52.273237140049,0.07311017417116042,2,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),75.60110750233729,NA,NA,NA,NA,2,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,41.44147992681747,NA,NA,NA,NA,2,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.17861385675040323,NA,NA,NA,NA,2,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),91.63632482356525,NA,NA,NA,NA,2,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.2292459685967,NA,NA,NA,NA,2,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),794.6428878057446,16.34275398868972,48.623560530599114,84.07329401613993,2.484362316671978e-63,3,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,30.53425841090479,28.350546747023042,1.0770253809694534,51.155754290657704,0.2865219016746535,3,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.89722348179582,NA,NA,NA,NA,3,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,32.07655772585045,NA,NA,NA,NA,3,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3718507395459349,NA,NA,NA,NA,3,,100,25,800,20,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),97.5794911140675,NA,NA,NA,NA,3,,100,25,800,20,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.13525056292409,NA,NA,NA,NA,3,,100,25,800,20,100,80,40,0.2,200
fixed,NA,(Intercept),782.661693578565,15.705810673691092,49.832619903511684,94.19853908610474,1.70939482490345e-69,4,,100,25,800,30,100,80,40,0.2,200
fixed,NA,cat,47.57489199712129,26.392833252144396,1.8025685815014147,52.99324457585864,0.07714393826866348,4,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),88.30376730961984,NA,NA,NA,NA,4,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,46.683941829212344,NA,NA,NA,NA,4,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.1983081343631067,NA,NA,NA,NA,4,,100,25,800,30,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),89.64953546967223,NA,NA,NA,NA,4,,100,25,800,30,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.4511407407008,NA,NA,NA,NA,4,,100,25,800,30,100,80,40,0.2,200
fixed,NA,(Intercept),818.8900919168672,15.564977830503484,52.61106702715929,79.69550229720318,1.1759624977137747e-63,5,,100,25,800,40,100,80,40,0.2,200
fixed,NA,cat,33.23236225104826,27.57456219720423,1.205181863392111,51.935128518035505,0.23359590335233266,5,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),74.88124985325665,NA,NA,NA,NA,5,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,39.45935135605761,NA,NA,NA,NA,5,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.17141652249631995,NA,NA,NA,NA,5,,100,25,800,40,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),94.40295399165926,NA,NA,NA,NA,5,,100,25,800,40,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.47637229947256,NA,NA,NA,NA,5,,100,25,800,40,100,80,40,0.2,200
fixed,NA,(Intercept),830.8610321895327,17.449604904824746,47.61489080820409,75.36736031747651,5.318068609956888e-58,6,,100,25,800,50,100,80,40,0.2,200
fixed,NA,cat,-9.192181468819285,31.503148365883543,-0.29178612124920167,52.08856887947474,0.7716091025359583,6,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),78.55799041944482,NA,NA,NA,NA,6,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,46.20370761645995,NA,NA,NA,NA,6,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3222410883616113,NA,NA,NA,NA,6,,100,25,800,50,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),108.3350075207094,NA,NA,NA,NA,6,,100,25,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.56988379132704,NA,NA,NA,NA,6,,100,25,800,50,100,80,40,0.2,200
