effect,group,term,estimate,std.error,statistic,p.value
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.0828712180133742,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.8387158689653653,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.3245786308467317,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.3046942089495116,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.8972555122562472,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.43922540177753466,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.9423902026642093,NA,NA,NA
fixed,NA,(Intercept),0.11383449308857563,0.26960488456136156,0.42222711681867586,0.6728592504432325
fixed,NA,X_e,0.5510450378403253,0.2269597492145125,2.427941693394724,0.015184784263085574
fixed,NA,X_c,0.6798639720608056,0.40215339858069116,1.690558812781965,0.09092109663385849
fixed,NA,X_e:X_c,0.36886158953877,0.382162536052884,0.9651955771188586,0.3344468618412054
ran_pars,item_id,sd__(Intercept),1.1879311221609894,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.3707684068372144,NA,NA,NA
ran_pars,item_id,sd__X_e,1.143959598452815,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),1.123873624423391,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.31236926180197594,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.16536097009927989,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.6681202414006403,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.6968021956019851,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.12536759071676648,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.607124782980751,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.0869728597124912,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.5628742123798489,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.3665847366491972,NA,NA,NA
fixed,NA,(Intercept),-0.020368031566295717,0.22370654868776535,-0.09104798981420993,0.92745445902234
fixed,NA,X_e,0.1907090860810797,0.20930063518035497,0.9111729924600808,0.3622042317958092
fixed,NA,X_c,0.22209091007683004,0.38679048480791545,0.574189176828181,0.565839792536157
fixed,NA,X_e:X_c,0.5784103848995749,0.33508996670812347,1.7261345977672709,0.08432320081416275
ran_pars,item_id,sd__(Intercept),1.0841300127347815,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.14418368978692733,NA,NA,NA
ran_pars,item_id,sd__X_e,0.7592393026008181,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),0.8568641390257987,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.17275667907615183,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.036403699694091296,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.13898808172786797,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.8510433807967898,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.40499433596787,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.3094393196632816,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.191553959236576,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.08839627269850932,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.0034068712766313,NA,NA,NA
