effect,group,term,estimate,std.error,statistic,df,p.value,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
fixed,NA,(Intercept),782.555315388604,16.458963458636184,47.54584438778794,70.71157300399392,2.0330409837117533e-55,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,-21.97206390731427,30.385743053216903,-0.7231043805258569,52.79124795104524,0.4728074974514421,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),68.25190578815129,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.30819645375588295,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,51.025850422879174,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),104.00883726325351,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.4678811056925,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),788.9049184433763,17.51941301779014,45.03032822174353,70.86890706627946,6.943232919736195e-54,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,-9.958006550732186,32.088876572142865,-0.31032580802086956,51.285386379763814,0.7575708491813526,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),72.78527384160161,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.14101204048896793,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,37.26192861126972,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),110.8712173170278,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.29996297534595,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),798.6369395661244,16.88942740658365,47.286205762950175,93.03450389201805,7.402551888513859e-67,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,31.52479461593472,28.272535632208083,1.115032447957079,51.0810437903115,0.27005509280068857,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),93.74333956199635,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.4794625211241786,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,31.365246811090472,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),97.32404049233853,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.18890336485907,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
fixed,NA,(Intercept),810.2664508006065,15.20181914445439,53.30062429378335,86.24014051649233,8.579239246955478e-68,,100,25,800,30,100,80,40,0.2,200
fixed,NA,cat,67.3258579029342,26.35857400009748,2.5542299026755098,52.92085632584214,0.013557052577888584,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),79.15861828894043,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.15768122673283855,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,45.86575639024735,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),89.61777879646631,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.57924079053015,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
fixed,NA,(Intercept),828.360320941556,15.651487419926305,52.92534177211486,86.04267749885719,1.994338567277411e-67,,100,25,800,40,100,80,40,0.2,200
fixed,NA,cat,69.46658348505557,27.16823998564545,2.556904073350308,52.92318306177018,0.01346475687479267,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),81.24344053395858,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.38622910361345286,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,47.177214081649545,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),92.50870647593429,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.57121097376427,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
fixed,NA,(Intercept),814.2697590712621,15.912526535275948,51.17161987231473,76.13075755856383,1.010715526714793e-60,,100,25,800,50,100,80,40,0.2,200
fixed,NA,cat,6.291890745846564,28.602969114702386,0.21997334334820615,51.92813032844086,0.8267544046387216,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),72.6512856679117,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.15096058628550468,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,40.52679558136101,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
