effect,group,term,estimate,std.error,statistic,p.value
ran_pars,subj_id,cor__(Intercept).X_i,0.5832042037402057,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.0583307420144388,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9719722818142493,NA,NA,NA
fixed,NA,(Intercept),-0.24013253380687766,0.18568042207409274,-1.2932571518555505,0.19592213486796384
fixed,NA,X_i,-1.3798768163950828,0.319829464964103,-4.314414297475554,1.6002659768005322e-5
ran_pars,subj_id,sd__(Intercept),1.1019783563828898,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.4785035759364629,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.1395678951133201,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0219973686046804,NA,NA,NA
fixed,NA,(Intercept),0.01137962228262114,0.15401677015382223,0.0738856052575047,0.9411014098802906
fixed,NA,X_i,-0.7271223587745965,0.264918434967017,-2.7447027567754017,0.006056572783571321
ran_pars,subj_id,sd__(Intercept),0.9066981923045057,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.4538641565495015,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.9044937644486217,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8474886114480868,NA,NA,NA
fixed,NA,(Intercept),-0.282125989112989,0.15943355307907797,-1.7695521655536108,0.07680177341450482
fixed,NA,X_i,-0.6907969122636091,0.26919949586658126,-2.566115178038732,0.010284467188435644
ran_pars,subj_id,sd__(Intercept),1.0142032424974767,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.43606603844721653,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.093598706643477,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8339034710654499,NA,NA,NA
