effect,group,term,estimate,std.error,statistic,p.value
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.3416117141825706,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.8868087800335638,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.14721224752753903,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.06682300546531851,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.9901975720987239,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.04313986322203869,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.8338522924074464,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0428887553586481,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.1970172761077846,NA,NA,NA
ran_pars,item_id,sd__X_e,1.1808576049145982,NA,NA,NA
fixed,NA,(Intercept),-0.17305640696882382,0.1697585269372638,-1.0194268888347435,0.3080003461300086
fixed,NA,X_e,0.6427929238158459,0.17435478587807743,3.6866950372405447,2.2718533774236413e-4
fixed,NA,X_c,1.246058505870407,0.2969226962569048,4.196575477653236,2.7098118142845334e-5
fixed,NA,X_e:X_c,0.007013818349949927,0.29664878454409616,0.023643509481183596,0.98113696629297
ran_pars,subj_id,sd__(Intercept),0.9689782655908995,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.017232169044599253,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.016234704605543524,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.02886527460375787,NA,NA,NA
ran_pars,subj_id,sd__X_e,1.0554760584289116,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.0698566040346413,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.036648507804949014,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.0233533309614613,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.13843047869452973,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.046432731110095,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9671026670637448,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.08094481300895771,NA,NA,NA
ran_pars,item_id,sd__X_e,0.9054065322450471,NA,NA,NA
fixed,NA,(Intercept),0.05868055937766247,0.16106795661561438,0.3643217472343212,0.715617762197622
fixed,NA,X_e,1.113805485930351,0.1960404761568819,5.68150775679113,1.3351245831070575e-8
fixed,NA,X_c,0.8959324515123533,0.2766382800897627,3.2386423571663476,0.0012010006884813848
fixed,NA,X_e:X_c,-0.7334015095843514,0.37095221731128925,-1.9770781123783072,0.04803280142750197
ran_pars,subj_id,sd__(Intercept),0.9643671964661218,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.038669571097259145,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.16372305989915603,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.048517241858841265,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.8660253347368095,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.009617208134724265,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.10317188763992031,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.997910061703095,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.15159018089760126,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.17832748681117,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8924742291001481,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.1184854148806969,NA,NA,NA
ran_pars,item_id,sd__X_e,1.1851883910513754,NA,NA,NA
fixed,NA,(Intercept),-0.1133558543277507,0.1878684256996,-0.6033789547425374,0.546256619254528
fixed,NA,X_e,0.41566258440443005,0.17481982467064563,2.3776627461303295,0.017422752725316293
fixed,NA,X_c,0.9297317995124617,0.3413043423976166,2.7240549973118484,0.006448576713530442
fixed,NA,X_e:X_c,0.1258009350567113,0.30134610171930143,0.4174632900142596,0.6763395701759671
ran_pars,subj_id,sd__(Intercept),0.9409027152725773,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.09054442737670519,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.1881532448844732,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.073843966143293,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.9990559827945565,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.0574148824919129,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.25512416164303087,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.034207831158508,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.055135185531063564,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.9164183404531003,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1344553449006463,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.004013699739182132,NA,NA,NA
ran_pars,item_id,sd__X_e,0.9439754377491785,NA,NA,NA
fixed,NA,(Intercept),0.0638730907311473,0.18861395889401514,0.3386445579409025,0.7348775114694907
