effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
ran_pars,Residual,sd__Observation,194.23976989303586,NA,NA,NA,NA,,50,10,10,800,50,80,100,40,0.2,200
fixed,NA,(Intercept),833.9124281536431,19.20991356937915,43.41052473463026,20.282305692758367,1.7356814601137058e-21,,50,10,10,800,50,100,20,40,0.2,200
fixed,NA,X_i,12.543588661504781,40.372173860423025,0.31069886662212415,24.275578493078662,0.7586816454046431,,50,10,10,800,50,100,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),12.031340915923984,NA,NA,NA,NA,,50,10,10,800,50,100,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,50,10,10,800,50,100,20,40,0.2,200
ran_pars,subj_id,sd__X_i,90.94216788240244,NA,NA,NA,NA,,50,10,10,800,50,100,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),81.17968335935336,NA,NA,NA,NA,,50,10,10,800,50,100,20,40,0.2,200
ran_pars,Residual,sd__Observation,191.36004426749295,NA,NA,NA,NA,,50,10,10,800,50,100,20,40,0.2,200
fixed,NA,(Intercept),828.0242658363467,22.290897584815557,37.14629537396433,22.35031337266962,1.3740816363473807e-21,,50,10,10,800,50,100,40,40,0.2,200
fixed,NA,X_i,-52.41131639101253,43.25105423094124,-1.2117928065096306,20.013003843826333,0.23970552100470507,,50,10,10,800,50,100,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),38.35471427955677,NA,NA,NA,NA,,50,10,10,800,50,100,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,50,10,10,800,50,100,40,40,0.2,200
ran_pars,subj_id,sd__X_i,6.340189816742539,NA,NA,NA,NA,,50,10,10,800,50,100,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),92.09937509025458,NA,NA,NA,NA,,50,10,10,800,50,100,40,40,0.2,200
ran_pars,Residual,sd__Observation,208.20107681426995,NA,NA,NA,NA,,50,10,10,800,50,100,40,40,0.2,200
fixed,NA,(Intercept),749.7785094922308,23.188092098444983,32.334635653034674,23.55462509272296,5.029261036860301e-21,,50,10,10,800,50,100,60,40,0.2,200
fixed,NA,X_i,42.2978043139376,44.589848403380316,0.9485971769020646,20.33397771150087,0.35396414614991556,,50,10,10,800,50,100,60,40,0.2,200
ran_pars,subj_id,sd__(Intercept),47.944196162081674,NA,NA,NA,NA,,50,10,10,800,50,100,60,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.4332120018728529,NA,NA,NA,NA,,50,10,10,800,50,100,60,40,0.2,200
ran_pars,subj_id,sd__X_i,32.70764102077091,NA,NA,NA,NA,,50,10,10,800,50,100,60,40,0.2,200
ran_pars,item_id,sd__(Intercept),94.64693846919121,NA,NA,NA,NA,,50,10,10,800,50,100,60,40,0.2,200
ran_pars,Residual,sd__Observation,209.3144719647015,NA,NA,NA,NA,,50,10,10,800,50,100,60,40,0.2,200
fixed,NA,(Intercept),837.4786219758425,26.07190314667488,32.12188298124495,26.767132295412587,6.517107471378016e-23,,50,10,10,800,50,100,80,40,0.2,200
fixed,NA,X_i,-3.379026458591991,48.48542457617708,-0.06969159264106452,20.45171239604504,0.9451160717685547,,50,10,10,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),70.62414021800855,NA,NA,NA,NA,,50,10,10,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.2696236120991131,NA,NA,NA,NA,,50,10,10,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__X_i,39.29465364165924,NA,NA,NA,NA,,50,10,10,800,50,100,80,40,0.2,200
