effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma,n_outgroup
ran_pars,subj_id,sd__X_i,38.30998838581961,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),82.07108571833744,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,202.75034134903322,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),772.9560026558681,20.89573642913983,36.99108692708978,48.25602595548355,4.49346476527681e-37,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,120.64304260336519,30.083439283910703,4.010280921167407,29.91776049923295,3.7260678402416036e-4,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),72.43277765838745,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),80.79387167287638,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.4651846365214694,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,29.413980759246936,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,199.35875061906833,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),811.5944158856151,24.3079554587761,33.3880164155311,59.242705581698715,4.024887282019224e-40,,30,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,99.1073122842224,35.12489821740621,2.821568668207829,43.383401387194404,0.007182177190626458,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),101.6559888149869,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),94.76757870679137,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,45.06801869380228,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,199.49455502972825,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),785.2561402090935,22.463547652889297,34.95690673365623,54.52268383313982,5.103315936938245e-39,,30,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,168.8624947062881,27.866263158927843,6.0597466457280484,51.991965274370905,1.5500426686424237e-7,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),89.86818699228478,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),97.48954019332854,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,27.556917158309723,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,198.53766991857324,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),846.5935254763373,27.053543997316922,31.293257754337084,34.112443511872485,1.0420713165631542e-26,,40,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,73.22586936563279,46.55704012108697,1.5728205481960347,20.797615064675472,0.13085066903032375,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),90.259564347937,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-0.020069160893439682,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,46.758917526135306,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),97.94454085170237,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,197.11492033887728,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),787.2169352406914,23.401366672821048,33.63978464364586,49.252657421982164,1.2120314201578267e-35,,40,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,80.46616636938921,40.008364486580504,2.0112335858262576,30.592451183167523,0.05318306273782347,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),78.31738671075607,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
