effect,group,term,estimate,std.error,statistic,p.value
ran_pars,subj_id,cor__cat.cat:exp,-0.033842889244319614,NA,NA,NA
ran_pars,subj_id,sd__exp,1.06584723114345,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,-0.03874720825737922,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,0.973960512074827,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.6928663147006918,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.2459677753598376,NA,NA,NA
ran_pars,item_id,sd__exp,1.1339993069806733,NA,NA,NA
fixed,NA,(Intercept),0.24098275826427984,0.18786310352850188,1.2827572510943792,0.19957713527531531
fixed,NA,cat,0.48747396363710627,0.3269626649326049,1.4909162908174447,0.13598347372750672
fixed,NA,exp,0.953046629471008,0.19001424949708648,5.015658730823875,5.28520692418835e-7
fixed,NA,cat:exp,0.1579283320931206,0.34687409742084385,0.4552900699919215,0.6489005691840124
ran_pars,subj_id,sd__(Intercept),1.0621155413693568,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.24029912327044822,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,-0.09859328143987181,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.136999499749302,NA,NA,NA
ran_pars,subj_id,sd__cat,1.0440953870077068,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,0.0873334090133176,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,-0.1653417199445638,NA,NA,NA
ran_pars,subj_id,sd__exp,0.9005077489326885,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.3252464829644958,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,0.9186900603012561,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0789185421801508,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.18405985050651044,NA,NA,NA
ran_pars,item_id,sd__exp,1.120202577134036,NA,NA,NA
fixed,NA,(Intercept),-0.3144600771512721,0.19631961205030832,-1.601776174408339,0.10920511347211675
fixed,NA,cat,1.0106305444636934,0.3432505014599276,2.944294444335075,0.0032369188631756435
fixed,NA,exp,0.9261405788195385,0.19320991519707179,4.793442292414891,1.6394363314071127e-6
fixed,NA,cat:exp,-0.15305180835470392,0.3463456912830692,-0.4419047564521722,0.6585581285843594
ran_pars,subj_id,sd__(Intercept),1.0489095611157402,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.09251132948163383,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.05874682405568904,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,-0.37120098927983364,NA,NA,NA
ran_pars,subj_id,sd__cat,0.8824215115842079,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,-0.03698529553613029,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,-0.04150981199466402,NA,NA,NA
ran_pars,subj_id,sd__exp,0.986314750258172,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.10385564570940363,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,0.9967330605081155,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1561751355883032,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.08618901306370301,NA,NA,NA
ran_pars,item_id,sd__exp,1.1053809399013108,NA,NA,NA
