"parameter","value","estimate","term","std.error","statistic","df","p.value"
"beta_1",50,59.0350347619084,"X_i",27.2845757316546,2.16367794546345,49.2697788241241,0.0353656094413234
"omega_0",80,93.7268365994049,NA,NA,NA,NA,NA
"tau_0",100,106.045323012909,NA,NA,NA,NA,NA
"tau_1",40,32.0268771657079,NA,NA,NA,NA,NA
"rho",0.2,0.535674230234382,NA,NA,NA,NA,NA
"sigma",200,198.157993568247,NA,NA,NA,NA,NA
"beta_0",800,791.646893392692,"(Intercept)",16.2041627786161,48.8545384422694,126.665403545882,4.783203897194e-84
"beta_1",50,40.9923585712412,"X_i",22.5795146575959,1.81546677122447,48.1535097447081,0.075682023789894
"omega_0",80,77.2016492542363,NA,NA,NA,NA,NA
"tau_0",100,116.383559081293,NA,NA,NA,NA,NA
"tau_1",40,11.5768291267637,NA,NA,NA,NA,NA
"rho",0.2,-0.145482794917236,NA,NA,NA,NA,NA
"sigma",200,199.01846849105,NA,NA,NA,NA,NA
"beta_0",800,806.048534747454,"(Intercept)",16.2134579597709,49.7147824201003,116.442517892201,2.89932267790391e-80
"beta_1",50,70.544631009776,"X_i",24.1813589733756,2.9173145763829,49.3922650676596,0.00530001641444646
"omega_0",80,82.5599143916856,NA,NA,NA,NA,NA
"tau_0",100,109.055217182933,NA,NA,NA,NA,NA
"tau_1",40,29.9246746664635,NA,NA,NA,NA,NA
"rho",0.2,0.454983581044689,NA,NA,NA,NA,NA
"sigma",200,195.230962936298,NA,NA,NA,NA,NA
"beta_0",800,800.071831476257,"(Intercept)",15.2680655144658,52.4016504067411,131.696247616955,4.47016421802298e-90
"beta_1",50,76.3605217948754,"X_i",20.5731816957963,3.71165349744993,50.9719757034861,0.00051034088684087
"omega_0",80,68.7104415321398,NA,NA,NA,NA,NA
"tau_0",100,114.34425948904,NA,NA,NA,NA,NA
"tau_1",40,37.1280136771082,NA,NA,NA,NA,NA
"rho",0.2,0.099619313604918,NA,NA,NA,NA,NA
"sigma",200,199.314227567975,NA,NA,NA,NA,NA
"beta_0",800,795.015444242743,"(Intercept)",15.1255469713789,52.5611037899721,120.030610054119,1.04446362685433e-84
"beta_1",50,57.8803338416006,"X_i",22.2246626154368,2.60432902146277,51.0693231316676,0.0120260405965388
"omega_0",80,74.6664878694005,NA,NA,NA,NA,NA
"tau_0",100,104.575257851084,NA,NA,NA,NA,NA
"tau_1",40,40.3067312260373,NA,NA,NA,NA,NA
"rho",0.2,0.0543886064008211,NA,NA,NA,NA,NA
"sigma",200,199.005495177347,NA,NA,NA,NA,NA
"beta_0",800,804.741855449902,"(Intercept)",14.7271780883741,54.6433166368225,119.915468477607,1.35449921114699e-86
"beta_1",50,9.64936181733699,"X_i",21.4320673942261,0.450230098657519,49.5548261758195,0.654508111416338
"omega_0",80,72.3387348007199,NA,NA,NA,NA,NA
"tau_0",100,102.027745233823,NA,NA,NA,NA,NA
"tau_1",40,28.5671960537352,NA,NA,NA,NA,NA
"rho",0.2,0.285968425141445,NA,NA,NA,NA,NA
"sigma",200,201.68435016566,NA,NA,NA,NA,NA
"beta_0",800,786.083025974776,"(Intercept)",16.0566323018695,48.9569052336866,120.687201888981,1.81653887037291e-81
"beta_1",50,104.770566031094,"X_i",23.5021128194981,4.45792115950416,50.5472313490891,4.61576559182175e-05
"omega_0",80,79.4407969062093,NA,NA,NA,NA,NA
"tau_0",100,111.139159202248,NA,NA,NA,NA,NA
"tau_1",40,38.941047492217,NA,NA,NA,NA,NA
"rho",0.2,0.560626239206032,NA,NA,NA,NA,NA
"sigma",200,200.991411927463,NA,NA,NA,NA,NA
"beta_0",800,797.750610620808,"(Intercept)",13.2712919059081,60.1109987088498,125.196215539684,3.31507349841429e-94
"beta_1",50,31.2089926207591,"X_i",18.8459033171667,1.65600937750386,53.5541494368798,0.103568608628943
"omega_0",80,61.425456317884,NA,NA,NA,NA,NA
"tau_0",100,96.2191551595768,NA,NA,NA,NA,NA
"tau_1",40,45.8086773630608,NA,NA,NA,NA,NA
"rho",0.2,0.357289607279089,NA,NA,NA,NA,NA
"sigma",200,201.04970751544,NA,NA,NA,NA,NA
"beta_0",800,844.451588504741,"(Intercept)",14.7721101371972,57.1652648580216,116.215437380362,6.24936760796544e-87
"beta_1",50,95.6343136002961,"X_i",22.227626802821,4.30249771820708,51.8699596969919,7.49256066856652e-05
"omega_0",80,74.3073759158688,NA,NA,NA,NA,NA
"tau_0",100,99.8738183213055,NA,NA,NA,NA,NA
"tau_1",40,44.9417679966453,NA,NA,NA,NA,NA
"rho",0.2,0.280634894593257,NA,NA,NA,NA,NA
"sigma",200,200.445999394615,NA,NA,NA,NA,NA
"beta_0",800,791.500332661004,"(Intercept)",13.3164791171746,59.4376580848751,117.153091292925,2.43960409149641e-89
"beta_1",50,34.5590263327318,"X_i",19.9852286732808,1.72922846656918,53.7510391135428,0.0895081296507176
"omega_0",80,65.42669369652,NA,NA,NA,NA,NA
"tau_0",100,91.3761969421627,NA,NA,NA,NA,NA
"tau_1",40,49.0706383850913,NA,NA,NA,NA,NA
"rho",0.2,-0.00406574055808854,NA,NA,NA,NA,NA
"sigma",200,202.724905239343,NA,NA,NA,NA,NA
"beta_0",800,802.405275798829,"(Intercept)",13.2555122127071,60.533705746174,124.25478393482,4.50615192396384e-94
"beta_1",50,65.352879199549,"X_i",18.6769712207041,3.49911548437271,50.1814469241878,0.000988377101732327
"omega_0",80,62.1484375135567,NA,NA,NA,NA,NA
"tau_0",100,95.2376942436604,NA,NA,NA,NA,NA
"tau_1",40,29.6708174609685,NA,NA,NA,NA,NA
"rho",0.2,0.471363086839342,NA,NA,NA,NA,NA
"sigma",200,196.949920858154,NA,NA,NA,NA,NA
"beta_0",800,799.613251229469,"(Intercept)",15.9215054234696,50.2222139151976,109.525834307988,1.89292865114367e-77
"beta_1",50,57.6076981156591,"X_i",24.5149454920808,2.34990113007873,49.3545904737571,0.0228207619070676
"omega_0",80,83.6260004785992,NA,NA,NA,NA,NA
"tau_0",100,102.715003733816,NA,NA,NA,NA,NA
"tau_1",40,30.0334686025358,NA,NA,NA,NA,NA
"rho",0.2,0.229825880319947,NA,NA,NA,NA,NA
"sigma",200,201.54969496726,NA,NA,NA,NA,NA
"beta_0",800,788.55850131636,"(Intercept)",15.5020072139448,50.8681547127015,94.9179291874647,1.11643899317389e-70
"beta_1",50,42.1338859462316,"X_i",25.4577274717332,1.65505291047737,49.5899513468703,0.104229949178771
"omega_0",80,86.9455677943283,NA,NA,NA,NA,NA
"tau_0",100,90.0496037801998,NA,NA,NA,NA,NA
"tau_1",40,33.4727098082842,NA,NA,NA,NA,NA
"rho",0.2,0.0818284934899733,NA,NA,NA,NA,NA
"sigma",200,200.403107135692,NA,NA,NA,NA,NA
"beta_0",800,802.821330471397,"(Intercept)",17.4164757193057,46.0955099877923,111.329187176846,2.31136860218675e-74
"beta_1",50,47.750765437261,"X_i",26.8562744607399,1.77801152230053,50.7469167158678,0.0813937280566527
"omega_0",80,91.3975954005978,NA,NA,NA,NA,NA
"tau_0",100,113.229352016089,NA,NA,NA,NA,NA
"tau_1",40,45.5636020364138,NA,NA,NA,NA,NA
"rho",0.2,0.281308586772731,NA,NA,NA,NA,NA
"sigma",200,200.678299786738,NA,NA,NA,NA,NA
"beta_0",800,787.295056381112,"(Intercept)",16.5609602268444,47.5392154559343,113.93403271173,5.68101354631406e-77
"beta_1",50,24.5142654610916,"X_i",25.0625317049804,0.978124067817942,49.7308821135747,0.332747352708586
"omega_0",80,85.5131110647382,NA,NA,NA,NA,NA
"tau_0",100,109.625472133365,NA,NA,NA,NA,NA
"tau_1",40,34.3200328398943,NA,NA,NA,NA,NA
"rho",0.2,-0.0865741845859235,NA,NA,NA,NA,NA
"sigma",200,197.96614547846,NA,NA,NA,NA,NA
"beta_0",800,767.59354542458,"(Intercept)",14.6706343847157,52.321769140691,100.220850608107,1.40150243221994e-74
"beta_1",50,62.4248934413232,"X_i",23.5410902938298,2.65174181238687,49.6445401928098,0.0107202522089109
"omega_0",80,80.0345162897839,NA,NA,NA,NA,NA
"tau_0",100,88.9903145370213,NA,NA,NA,NA,NA
"tau_1",40,31.6921480465626,NA,NA,NA,NA,NA
"rho",0.2,0.553626476230163,NA,NA,NA,NA,NA
"sigma",200,199.051205488218,NA,NA,NA,NA,NA
"beta_0",800,840.167676836964,"(Intercept)",15.9066590200006,52.8186136246814,103.422006361183,1.22299113104949e-76
"beta_1",50,36.9370339670043,"X_i",25.2306131856994,1.46397686394479,49.7518736656317,0.149490490763446
"omega_0",80,86.0561204868333,NA,NA,NA,NA,NA
"tau_0",100,98.4328694524885,NA,NA,NA,NA,NA
"tau_1",40,34.7243841672758,NA,NA,NA,NA,NA
"rho",0.2,0.11480095311966,NA,NA,NA,NA,NA
"sigma",200,200.229690945114,NA,NA,NA,NA,NA
"beta_0",800,819.036005885219,"(Intercept)",13.7131762205149,59.7262073143886,112.535000843792,4.60328367601612e-87
"beta_1",50,48.1797775390333,"X_i",20.9816794624071,2.29627840923588,52.0245607362843,0.0257189089652552
"omega_0",80,69.7793959004338,NA,NA,NA,NA,NA
"tau_0",100,90.9445604376912,NA,NA,NA,NA,NA
"tau_1",40,43.4310807737736,NA,NA,NA,NA,NA
"rho",0.2,0.136193306671879,NA,NA,NA,NA,NA
"sigma",200,199.484203362805,NA,NA,NA,NA,NA
"beta_0",800,796.706166939736,"(Intercept)",16.235365056476,49.0722668796379,117.572283744222,3.70501262789647e-80
"beta_1",50,74.2269934536548,"X_i",24.6184383530491,3.01509756180215,53.9325345158544,0.00391110378545051
"omega_0",80,82.0224771896124,NA,NA,NA,NA,NA
"tau_0",100,110.062339506473,NA,NA,NA,NA,NA
"tau_1",40,60.2228660728724,NA,NA,NA,NA,NA
"rho",0.2,0.0553630712872934,NA,NA,NA,NA,NA
"sigma",200,198.697728399162,NA,NA,NA,NA,NA
"beta_0",800,800.332837673374,"(Intercept)",14.9052226207188,53.6947926266381,126.153060013769,9.28408283677191e-89
"beta_1",50,57.4988956864588,"X_i",20.9036864477097,2.75065815928169,50.1708914767167,0.00825123350170271
"omega_0",80,70.1659572484994,NA,NA,NA,NA,NA
"tau_0",100,107.508386225594,NA,NA,NA,NA,NA
"tau_1",40,32.5938429226159,NA,NA,NA,NA,NA
"rho",0.2,0.171401286386361,NA,NA,NA,NA,NA
"sigma",200,201.49316555305,NA,NA,NA,NA,NA
"beta_0",800,810.288947889814,"(Intercept)",14.639418673675,55.3498035647342,118.755365006543,1.18799527812422e-86
"beta_1",50,32.8858264768988,"X_i",21.3229428099195,1.54227428971954,48.4077100005297,0.129519472300985
"omega_0",80,72.4709008744473,NA,NA,NA,NA,NA
"tau_0",100,100.641639043703,NA,NA,NA,NA,NA
"tau_1",40,16.0223407737422,NA,NA,NA,NA,NA
"rho",0.2,0.480280650350962,NA,NA,NA,NA,NA
"sigma",200,199.80683844695,NA,NA,NA,NA,NA
"beta_0",800,826.956556998918,"(Intercept)",13.976234506586,59.1687665665051,107.004360649107,1.40886188403244e-83
"beta_1",50,10.0391238087287,"X_i",21.8057426339717,0.46038898914126,50.4881845772239,0.647213857884556
"omega_0",80,73.297510890506,NA,NA,NA,NA,NA
"tau_0",100,89.2774422712916,NA,NA,NA,NA,NA
"tau_1",40,36.0116034451494,NA,NA,NA,NA,NA
"rho",0.2,0.444312439414748,NA,NA,NA,NA,NA
"sigma",200,202.237631799399,NA,NA,NA,NA,NA
"beta_0",800,801.259895771947,"(Intercept)",16.7610774158967,47.8047965467905,105.493560730545,2.57254320376767e-73
"beta_1",50,38.2412273163093,"X_i",26.3727280202015,1.4500292607961,49.7907053372481,0.153320739823949
"omega_0",80,90.0685609258706,NA,NA,NA,NA,NA
"tau_0",100,105.074579875475,NA,NA,NA,NA,NA
"tau_1",40,36.6232332014484,NA,NA,NA,NA,NA
"rho",0.2,0.212447433983684,NA,NA,NA,NA,NA
"sigma",200,203.471489850593,NA,NA,NA,NA,NA
"beta_0",800,789.205822011002,"(Intercept)",15.0380366408781,52.480642311091,117.020775806017,3.61122936725035e-83
"beta_1",50,90.4907780387451,"X_i",22.3005679756307,4.05777907260615,49.6472981724127,0.000175114447433625
"omega_0",80,75.5453227924066,NA,NA,NA,NA,NA
"tau_0",100,102.03365594663,NA,NA,NA,NA,NA
"tau_1",40,30.2982273732945,NA,NA,NA,NA,NA
"rho",0.2,0.357781974417382,NA,NA,NA,NA,NA
"sigma",200,198.644917350576,NA,NA,NA,NA,NA
"beta_0",800,830.036878636017,"(Intercept)",14.7779882481669,56.167109128604,115.480764351071,1.08257223520681e-85
"beta_1",50,33.586256858477,"X_i",22.0578035135738,1.52264738589266,49.4113740875542,0.134221745864586
"omega_0",80,74.8033378694107,NA,NA,NA,NA,NA
"tau_0",100,99.3450115527222,NA,NA,NA,NA,NA
"tau_1",40,27.8714944130819,NA,NA,NA,NA,NA
"rho",0.2,0.518833929014393,NA,NA,NA,NA,NA
"sigma",200,197.279450662244,NA,NA,NA,NA,NA
"beta_0",800,796.226142872155,"(Intercept)",14.7784055782585,53.8776756840087,110.002698292905,6.60702904225938e-81
"beta_1",50,77.9880538673112,"X_i",22.7484979306538,3.42827267563111,50.2719512696238,0.00122055312987743
"omega_0",80,76.7811126748441,NA,NA,NA,NA,NA
"tau_0",100,96.0417660631859,NA,NA,NA,NA,NA
"tau_1",40,35.8467648475454,NA,NA,NA,NA,NA
"rho",0.2,0.392388874702049,NA,NA,NA,NA,NA
"sigma",200,203.153610334875,NA,NA,NA,NA,NA
"beta_0",800,787.175356535856,"(Intercept)",15.6128035264695,50.4185782650311,115.864785368039,1.13890664052335e-80
"beta_1",50,50.3499952890949,"X_i",23.5232608147414,2.14043434222953,51.3363168297689,0.0370916012317703
"omega_0",80,79.1478812083465,NA,NA,NA,NA,NA
"tau_0",100,105.026226671695,NA,NA,NA,NA,NA
"tau_1",40,44.1877755601971,NA,NA,NA,NA,NA
"rho",0.2,0.127851920321122,NA,NA,NA,NA,NA
"sigma",200,202.07435601501,NA,NA,NA,NA,NA
"beta_0",800,800.167729723242,"(Intercept)",15.4849900874643,51.6737644133858,121.769677745088,1.10156339407089e-84
"beta_1",50,43.365889139042,"X_i",22.4437404185146,1.93220418390101,50.348350677543,0.0589705181495971
"omega_0",80,75.6704921566723,NA,NA,NA,NA,NA
"tau_0",100,108.202807844198,NA,NA,NA,NA,NA
"tau_1",40,35.9106070024453,NA,NA,NA,NA,NA
"rho",0.2,0.419532929289058,NA,NA,NA,NA,NA
"sigma",200,202.311320623974,NA,NA,NA,NA,NA
"beta_0",800,776.049649987116,"(Intercept)",13.820116430503,56.1536260486388,109.060646592367,2.57355449867389e-82
"beta_1",50,4.34721131758476,"X_i",21.6995435175095,0.200336533073932,53.6899123109414,0.841974325114342
"omega_0",80,71.6790425983891,NA,NA,NA,NA,NA
"tau_0",100,89.544207901958,NA,NA,NA,NA,NA
"tau_1",40,52.5493320692438,NA,NA,NA,NA,NA
"rho",0.2,0.312245018433303,NA,NA,NA,NA,NA
"sigma",200,200.702061627654,NA,NA,NA,NA,NA
"beta_0",800,778.338374275966,"(Intercept)",16.6205986494119,46.8297436629038,116.985514402691,1.26395461910203e-77
"beta_1",50,47.3584305054226,"X_i",25.0133484547841,1.89332630099609,51.6666892258427,0.0639210213636132
"omega_0",80,84.4029138559562,NA,NA,NA,NA,NA
"tau_0",100,112.151355320478,NA,NA,NA,NA,NA
"tau_1",40,48.7928919720679,NA,NA,NA,NA,NA
"rho",0.2,-0.153518332671373,NA,NA,NA,NA,NA
"sigma",200,199.849907618971,NA,NA,NA,NA,NA
"beta_0",800,807.247877360174,"(Intercept)",14.6269422276983,55.189106840904,127.712312427205,5.72079286325154e-91
"beta_1",50,78.4026135823147,"X_i",20.5197496456146,3.82083675173252,52.5949144688608,0.000353304366098246
"omega_0",80,67.9419415505597,NA,NA,NA,NA,NA
"tau_0",100,106.673904291626,NA,NA,NA,NA,NA
"tau_1",40,45.2142058005987,NA,NA,NA,NA,NA
"rho",0.2,0.277554834708298,NA,NA,NA,NA,NA
"sigma",200,197.88976642346,NA,NA,NA,NA,NA
"beta_0",800,793.528731727143,"(Intercept)",15.5418694871139,51.0574826525906,112.320701295767,1.44536325746027e-79
"beta_1",50,43.1311803082956,"X_i",23.4232133871843,1.84138613243793,48.0723538295544,0.0717397150490251
"omega_0",80,80.2905285999252,NA,NA,NA,NA,NA
"tau_0",100,102.224360539338,NA,NA,NA,NA,NA
"tau_1",40,6.63997191772242,NA,NA,NA,NA,NA
"rho",0.2,-1,NA,NA,NA,NA,NA
"sigma",200,201.496012623214,NA,NA,NA,NA,NA
"beta_0",800,820.453283564676,"(Intercept)",15.209040525376,53.9451047024146,113.345917698625,1.1509085724764e-82
"beta_1",50,29.5455045348387,"X_i",23.2399849827942,1.27132201491149,51.6264307391082,0.209312198741246
"omega_0",80,78.1142693700381,NA,NA,NA,NA,NA
"tau_0",100,100.717581505318,NA,NA,NA,NA,NA
"tau_1",40,45.3855661653771,NA,NA,NA,NA,NA
"rho",0.2,0.106193089052556,NA,NA,NA,NA,NA
"sigma",200,197.962368588537,NA,NA,NA,NA,NA
"beta_0",800,800.194229603982,"(Intercept)",16.5427104755521,48.3714099201919,107.527226115701,8.4772203051471e-75
"beta_1",50,54.5301361042583,"X_i",26.0943832671973,2.0897269556398,52.1275971019745,0.0415389221538824
"omega_0",80,87.940440000986,NA,NA,NA,NA,NA
"tau_0",100,105.201168715123,NA,NA,NA,NA,NA
"tau_1",40,53.8174642144798,NA,NA,NA,NA,NA
"rho",0.2,0.359430659572104,NA,NA,NA,NA,NA
"sigma",200,203.936155896103,NA,NA,NA,NA,NA
"beta_0",800,827.484702945004,"(Intercept)",16.0355619428196,51.6030997788348,91.8761057738721,1.20599653996154e-69
"beta_1",50,50.8746016286847,"X_i",26.9160832324766,1.89011904849885,51.2772444504155,0.0644004257315437
"omega_0",80,91.4006082455819,NA,NA,NA,NA,NA
"tau_0",100,90.6530857955187,NA,NA,NA,NA,NA
"tau_1",40,49.6365065849853,NA,NA,NA,NA,NA
"rho",0.2,0.225552432107452,NA,NA,NA,NA,NA
"sigma",200,198.469184336659,NA,NA,NA,NA,NA
"beta_0",800,821.676296802579,"(Intercept)",13.6881034029952,60.0284986613106,131.853342720983,1.28226918074052e-97
"beta_1",50,73.0450799462382,"X_i",18.1359265013145,4.02764534477706,52.1485918629577,0.000183546394817731
"omega_0",80,59.3673643484957,NA,NA,NA,NA,NA
"tau_0",100,104.356916202693,NA,NA,NA,NA,NA
"tau_1",40,38.8198008111795,NA,NA,NA,NA,NA
"rho",0.2,0.155980943768505,NA,NA,NA,NA,NA
"sigma",200,199.635119455269,NA,NA,NA,NA,NA
"beta_0",800,801.942711832336,"(Intercept)",16.3707336912476,48.9863635287821,122.230764942703,3.38116231319083e-82
"beta_1",50,26.8096978782917,"X_i",23.8359218955365,1.1247602671207,51.0557382511017,0.265950785805521
"omega_0",80,80.4325630765387,NA,NA,NA,NA,NA
"tau_0",100,114.264235985622,NA,NA,NA,NA,NA
"tau_1",40,42.8953508742848,NA,NA,NA,NA,NA
"rho",0.2,0.169450031556062,NA,NA,NA,NA,NA
"sigma",200,200.621799348237,NA,NA,NA,NA,NA
"beta_0",800,792.835288800806,"(Intercept)",15.4110043870608,51.4460491274973,95.5640151254164,1.82350726880574e-71
"beta_1",50,88.4784374115704,"X_i",25.3403088370902,3.49160848750454,50.4605464594237,0.0010073291864749
"omega_0",80,85.9852308593319,NA,NA,NA,NA,NA
"tau_0",100,90.0988609445282,NA,NA,NA,NA,NA
"tau_1",40,41.0453612814471,NA,NA,NA,NA,NA
"rho",0.2,0.371572700284987,NA,NA,NA,NA,NA
"sigma",200,205.570064264343,NA,NA,NA,NA,NA
"beta_0",800,784.059979348109,"(Intercept)",15.0454261638179,52.1128461773758,104.927534253318,8.00720383495474e-77
"beta_1",50,47.2253584869124,"X_i",23.664504207413,1.99562002537619,49.6893136355778,0.0514720994989996
"omega_0",80,80.4276528305574,NA,NA,NA,NA,NA
"tau_0",100,94.320372487337,NA,NA,NA,NA,NA
"tau_1",40,32.2531738362101,NA,NA,NA,NA,NA
"rho",0.2,0.344934843746261,NA,NA,NA,NA,NA
"sigma",200,200.366850960396,NA,NA,NA,NA,NA
"beta_0",800,807.015466449089,"(Intercept)",14.4756017395482,55.7500462481137,105.543429235278,4.03825331969078e-80
"beta_1",50,33.7698857045048,"X_i",23.0891130108889,1.46258912971576,53.2118694668545,0.149461458956309
"omega_0",80,76.8285287375048,NA,NA,NA,NA,NA
"tau_0",100,91.3287662383478,NA,NA,NA,NA,NA
"tau_1",40,53.4534362285548,NA,NA,NA,NA,NA
"rho",0.2,0.147061776971057,NA,NA,NA,NA,NA
"sigma",200,201.011862043243,NA,NA,NA,NA,NA
"beta_0",800,793.351641906402,"(Intercept)",14.3507612113696,55.2828961628779,113.538603848714,6.30393314415456e-84
"beta_1",50,42.9983323721147,"X_i",21.767549215287,1.97534099713521,50.8318348911923,0.0536713938793095
"omega_0",80,73.154663632914,NA,NA,NA,NA,NA
"tau_0",100,95.4522707386587,NA,NA,NA,NA,NA
"tau_1",40,38.0713133783523,NA,NA,NA,NA,NA
"rho",0.2,0.0893069344439978,NA,NA,NA,NA,NA
"sigma",200,197.49545854518,NA,NA,NA,NA,NA
"beta_0",800,797.781166857406,"(Intercept)",14.466481380974,55.1468699159032,97.4700543664802,2.6727102657524e-75
"beta_1",50,16.5126404375267,"X_i",23.3380578458589,0.707541327842613,48.506679294475,0.482615934663183
"omega_0",80,79.7777627444136,NA,NA,NA,NA,NA
"tau_0",100,86.0071089588833,NA,NA,NA,NA,NA
"tau_1",40,18.5405541745422,NA,NA,NA,NA,NA
"rho",0.2,-0.123265896746997,NA,NA,NA,NA,NA
"sigma",200,200.212725136693,NA,NA,NA,NA,NA
"beta_0",800,799.876495679134,"(Intercept)",15.9138001560135,50.2630727945191,108.708315980462,4.33239274697404e-77
"beta_1",50,34.4582498597994,"X_i",24.9220676560343,1.38264008971407,51.8655376071062,0.172699872842621
"omega_0",80,83.9814990920969,NA,NA,NA,NA,NA
"tau_0",100,102.077967201639,NA,NA,NA,NA,NA
"tau_1",40,49.9096885889104,NA,NA,NA,NA,NA
"rho",0.2,0.216870822408512,NA,NA,NA,NA,NA
"sigma",200,199.900947099227,NA,NA,NA,NA,NA
"beta_0",800,805.119280086665,"(Intercept)",15.8762462453428,50.7121940315609,109.257195952568,9.23322471727711e-78
"beta_1",50,62.3981926872502,"X_i",24.8263102862198,2.5133897050294,52.0661578936906,0.0150902976718977
"omega_0",80,83.5674600568367,NA,NA,NA,NA,NA
"tau_0",100,102.200208144989,NA,NA,NA,NA,NA
"tau_1",40,50.9118894285488,NA,NA,NA,NA,NA
"rho",0.2,0.0420713826296615,NA,NA,NA,NA,NA
